-1.995 0.935 0.772003
-1.995 0.945 0.767539
-1.995 0.955 0.763161
-1.995 0.965 0.75887
-1.995 0.975 0.754667
-1.995 0.985 0.75055
-1.995 0.995 0.746521
-1.995 1.005 0.74258
-1.995 1.015 0.738726
-1.995 1.025 0.734962
-1.995 1.035 0.731286
-1.995 1.045 0.7277
-1.995 1.055 0.724204
-1.995 1.065 0.720798
-1.995 1.075 0.717484
-1.995 1.085 0.714261
-1.995 1.095 0.711131
-1.995 1.105 0.708092
-1.995 1.115 0.705147
-1.995 1.125 0.702294
-1.995 1.135 0.699535
-1.995 1.145 0.69687
-1.995 1.155 0.694298
-1.995 1.165 0.691821
-1.995 1.175 0.689438
-1.995 1.185 0.687148
-1.995 1.195 0.684954
-1.995 1.205 0.682853
-1.995 1.215 0.680847
-1.995 1.225 0.678934
-1.995 1.235 0.677116
-1.995 1.245 0.675392
-1.995 1.255 0.673762
-1.995 1.265 0.672225
-1.995 1.275 0.670782
-1.995 1.285 0.669432
-1.995 1.295 0.668176
-1.995 1.305 0.667012
-1.995 1.315 0.665942
-1.995 1.325 0.664964
-1.995 1.335 0.664079
-1.995 1.345 0.663286
-1.995 1.355 0.662585
-1.995 1.365 0.661977
-1.995 1.375 0.661461
-1.995 1.385 0.661036
-1.995 1.395 0.660704
-1.995 1.405 0.660464
-1.995 1.415 0.660315
-1.995 1.425 0.660259
-1.995 1.435 0.660294
-1.995 1.445 0.660422
-1.995 1.455 0.660642
-1.995 1.465 0.660954
-1.995 1.475 0.661358
-1.995 1.485 0.661856
-1.995 1.495 0.662446
-1.995 1.505 0.663129
-1.995 1.515 0.663906
-1.995 1.525 0.664777
-1.995 1.535 0.665742
-1.995 1.545 0.666802
-1.995 1.555 0.667957
-1.995 1.565 0.669207
-1.995 1.575 0.670554
-1.995 1.585 0.671998
-1.995 1.595 0.673538
-1.995 1.605 0.675177
-1.995 1.615 0.676915
-1.995 1.625 0.678752
-1.995 1.635 0.680689
-1.995 1.645 0.682727
-1.995 1.655 0.684868
-1.995 1.665 0.687111
-1.995 1.675 0.689458
-1.995 1.685 0.69191
-1.995 1.695 0.694468
-1.995 1.705 0.697133
-1.995 1.715 0.699906
-1.995 1.725 0.702788
-1.995 1.735 0.705782
-1.995 1.745 0.708887
-1.995 1.755 0.712105
-1.995 1.765 0.715439
-1.995 1.775 0.718888
-1.995 1.785 0.722456
-1.995 1.795 0.726142
-1.995 1.805 0.72995
-1.995 1.815 0.73388
-1.995 1.825 0.737935
-1.995 1.835 0.742116
-1.995 1.845 0.746426
-1.995 1.855 0.750865
-1.995 1.865 0.755437
-1.995 1.875 0.760143
-1.995 1.885 0.764985
-1.995 1.895 0.769966
-1.995 1.905 0.775088
-1.995 1.915 0.780353
-1.995 1.925 0.785764
-1.995 1.935 0.791323
-1.995 1.945 0.797033
-1.995 1.955 0.802897
-1.995 1.965 0.808917
-1.995 1.975 0.815096
-1.995 1.985 0.821438
-1.995 1.995 0.827944
-1.985 -0.995 38.9933
-1.985 -0.985 37.6985
-1.985 -0.975 36.4518
-1.985 -0.965 35.2512
-1.985 -0.955 34.095
-1.985 -0.945 32.9813
-1.985 -0.935 31.9084
-1.985 -0.925 30.8748
-1.985 -0.915 29.8788
-1.985 -0.905 28.919
-1.985 -0.895 27.994
-1.985 -0.885 27.1023
-1.985 -0.875 26.2428
-1.985 -0.865 25.414
-1.985 -0.855 24.6148
-1.985 -0.845 23.8442
-1.985 -0.835 23.1008
-1.985 -0.825 22.3838
-1.985 -0.815 21.6921
-1.985 -0.805 21.0247
-1.985 -0.795 20.3807
-1.985 -0.785 19.7592
-1.985 -0.775 19.1593
-1.985 -0.765 18.5802
-1.985 -0.755 18.0211
-1.985 -0.745 17.4813
-1.985 -0.735 16.9601
-1.985 -0.725 16.4567
-1.985 -0.715 15.9704
-1.985 -0.705 15.5007
-1.985 -0.695 15.0469
-1.985 -0.685 14.6085
-1.985 -0.675 14.1848
-1.985 -0.665 13.7753
-1.985 -0.655 13.3795
-1.985 -0.645 12.9968
-1.985 -0.635 12.6269
-1.985 -0.625 12.2692
-1.985 -0.615 11.9234
-1.985 -0.605 11.5888
-1.985 -0.595 11.2652
-1.985 -0.585 10.9522
-1.985 -0.575 10.6494
-1.985 -0.565 10.3563
-1.985 -0.555 10.0727
-1.985 -0.545 9.79828
-1.985 -0.535 9.53261
-1.985 -0.525 9.27542
-1.985 -0.515 9.02641
-1.985 -0.505 8.78529
-1.985 -0.495 8.55178
-1.985 -0.485 8.32561
-1.985 -0.475 8.10653
-1.985 -0.465 7.89428
-1.985 -0.455 7.68864
-1.985 -0.445 7.48936
-1.985 -0.435 7.29623
-1.985 -0.425 7.10903
-1.985 -0.415 6.92756
-1.985 -0.405 6.75161
-1.985 -0.395 6.58101
-1.985 -0.385 6.41556
-1.985 -0.375 6.2551
-1.985 -0.365 6.09944
-1.985 -0.355 5.94842
-1.985 -0.345 5.80189
-1.985 -0.335 5.65969
-1.985 -0.325 5.52168
-1.985 -0.315 5.38772
-1.985 -0.305 5.25766
-1.985 -0.295 5.13138
-1.985 -0.285 5.00875
-1.985 -0.275 4.88965
-1.985 -0.265 4.77396
-1.985 -0.255 4.66157
-1.985 -0.245 4.55237
-1.985 -0.235 4.44624
-1.985 -0.225 4.3431
-1.985 -0.215 4.24284
-1.985 -0.205 4.14537
-1.985 -0.195 4.0506
-1.985 -0.185 3.95844
-1.985 -0.175 3.86881
-1.985 -0.165 3.78162
-1.985 -0.155 3.6968
-1.985 -0.145 3.61427
-1.985 -0.135 3.53396
-1.985 -0.125 3.4558
-1.985 -0.115 3.37972
-1.985 -0.105 3.30565
-1.985 -0.095 3.23355
-1.985 -0.085 3.16334
-1.985 -0.075 3.09496
-1.985 -0.065 3.02837
-1.985 -0.055 2.96351
-1.985 -0.045 2.90032
-1.985 -0.035 2.83876
-1.985 -0.025 2.77878
-1.985 -0.015 2.72034
-1.985 -0.005 2.66338
-1.985 0.005 2.60787
-1.985 0.015 2.55377
-1.985 0.025 2.50104
-1.985 0.035 2.44963
-1.985 0.045 2.39952
-1.985 0.055 2.35067
-1.985 0.065 2.30304
-1.985 0.075 2.25661
-1.985 0.085 2.21134
-1.985 0.095 2.1672
-1.985 0.105 2.12416
-1.985 0.115 2.0822
-1.985 0.125 2.04128
-1.985 0.135 2.0014
-1.985 0.145 1.96251
-1.985 0.155 1.92459
-1.985 0.165 1.88763
-1.985 0.175 1.85161
-1.985 0.185 1.81649
-1.985 0.195 1.78227
-1.985 0.205 1.74892
-1.985 0.215 1.71642
-1.985 0.225 1.68476
-1.985 0.235 1.65392
-1.985 0.245 1.62388
-1.985 0.255 1.59463
-1.985 0.265 1.56615
-1.985 0.275 1.53843
-1.985 0.285 1.51146
-1.985 0.295 1.48521
-1.985 0.305 1.45968
-1.985 0.315 1.43486
-1.985 0.325 1.41073
-1.985 0.335 1.38727
-1.985 0.345 1.36449
-1.985 0.355 1.34236
-1.985 0.365 1.32088
-1.985 0.375 1.30003
-1.985 0.385 1.2798
-1.985 0.395 1.26017
-1.985 0.405 1.24115
-1.985 0.415 1.22271
-1.985 0.425 1.20485
